Column1;hour;light;temperature;soil_capacitance;delta_soil;was_watered;hours_since_last_watering;drying_too_fast;forgot_to_water;insufficient_watering;hour_of_day;is_day;rolling_avg_light_6h;rolling_avg_temp_6h;is_light_ok;light_hours_today;timestamp;date;soil_capacitance_in_6h;soil_capacitance_in_12h;needs_watering_now;needs_watering_in_6h;needs_watering_in_12h;too_dark_today;too_bright_now;dark_trend;worth_relocating;ok
0;4/23/2025 20:00;76.03;23.25;51.04;0.0;0;2;0;0;0;20;0;76.03;23.25;0;0;2025-04-23 20:00:00;23.04.2025;50.45;50.07;0;0;0;1;0;0.0;0;0
1;4/23/2025 21:00;72.31;23.41;50.75;-0.28999999999999915;0;3;0;0;0;21;0;74.17;23.33;0;0;2025-04-23 21:00:00;23.04.2025;50.42;50.15;0;0;0;1;0;0.0;0;0
2;4/23/2025 22:00;72.39;23.47;50.19;-0.5600000000000023;0;4;0;0;0;22;0;73.58;23.38;0;0;2025-04-23 22:00:00;23.04.2025;50.14;49.99;0;0;0;1;0;0.0;0;0
3;4/23/2025 23:00;48.43;23.49;51.25;1.0600000000000023;0;5;0;0;0;23;0;67.29;23.4;0;0;2025-04-23 23:00:00;23.04.2025;50.26;50.44;0;0;0;1;0;0.0;0;0
4;4/24/2025 0:00;0.0;23.47;51.0;-0.25;0;6;0;0;0;0;0;53.83;23.42;0;4;2025-04-24 00:00:00;24.04.2025;50.1;50.86;0;0;0;1;0;0.0;0;0
5;4/24/2025 1:00;0.0;23.39;50.43;-0.5700000000000003;0;7;0;0;0;1;0;44.86;23.41;0;4;2025-04-24 01:00:00;24.04.2025;50.53;51.08;0;0;0;1;0;0.0;0;0
6;4/24/2025 2:00;0.0;23.32;50.45;0.020000000000003126;0;8;0;0;0;2;0;32.19;23.42;0;4;2025-04-24 02:00:00;24.04.2025;50.07;52.28;0;0;0;1;0;0.0;0;0
7;4/24/2025 3:00;0.58;23.25;50.42;-0.030000000000001137;0;9;0;0;0;3;0;20.23;23.4;0;4;2025-04-24 03:00:00;24.04.2025;50.15;49.7;0;0;0;1;0;0.0;0;0
8;4/24/2025 4:00;4.49;23.2;50.14;-0.28000000000000114;0;10;0;0;0;4;0;8.92;23.35;0;4;2025-04-24 04:00:00;24.04.2025;49.99;51.85;0;0;0;1;0;0.0;0;0
9;4/24/2025 5:00;10.87;23.21;50.26;0.11999999999999744;0;11;0;0;0;5;0;2.66;23.31;0;4;2025-04-24 05:00:00;24.04.2025;50.44;52.38;0;0;0;1;0;0.0;0;0
10;4/24/2025 6:00;17.82;23.34;50.1;-0.1599999999999966;0;12;0;0;0;6;1;5.63;23.29;0;4;2025-04-24 06:00:00;24.04.2025;50.86;52.21;0;0;0;1;0;0.0;0;0
11;4/24/2025 7:00;26.92;23.42;50.53;0.4299999999999997;0;13;0;0;0;7;1;10.11;23.29;0;4;2025-04-24 07:00:00;24.04.2025;51.08;53.31;0;0;0;1;0;0.0;0;0
12;4/24/2025 8:00;78.26;23.4;50.07;-0.46000000000000085;0;14;0;0;0;8;1;23.16;23.3;0;4;2025-04-24 08:00:00;24.04.2025;52.28;54.22;0;0;0;1;0;0.0;0;0
13;4/24/2025 9:00;131.56;23.61;50.15;0.0799999999999983;0;15;0;0;0;9;1;44.99;23.36;1;4;2025-04-24 09:00:00;24.04.2025;49.7;53.46;0;0;0;1;0;0.0;0;0
14;4/24/2025 10:00;175.6;23.92;49.99;-0.1599999999999966;0;16;0;0;0;10;1;73.5;23.48;1;4;2025-04-24 10:00:00;24.04.2025;51.85;50.7;0;0;0;1;0;0.0;0;0
15;4/24/2025 11:00;123.11;24.14;50.44;0.44999999999999574;0;17;0;0;0;11;1;92.21;23.64;1;4;2025-04-24 11:00:00;24.04.2025;52.38;51.1;0;0;0;1;0;0.0;0;0
16;4/24/2025 12:00;61.56;24.19;50.86;0.4200000000000017;0;18;0;0;0;12;1;99.5;23.78;0;4;2025-04-24 12:00:00;24.04.2025;52.21;51.32;0;0;0;1;0;0.0;0;0
17;4/24/2025 13:00;116.2;24.15;51.08;0.21999999999999886;0;19;0;0;0;13;1;114.38;23.9;1;4;2025-04-24 13:00:00;24.04.2025;53.31;51.25;0;0;0;1;0;0.0;0;0
18;4/24/2025 14:00;95.16;24.11;52.28;1.2000000000000028;0;20;0;0;0;14;1;117.2;24.02;0;4;2025-04-24 14:00:00;24.04.2025;54.22;51.42;0;0;0;1;0;0.0;0;0
19;4/24/2025 15:00;87.82;24.01;49.7;-2.5799999999999983;0;21;0;0;0;15;1;109.91;24.09;0;4;2025-04-24 15:00:00;24.04.2025;53.46;55.26;0;0;0;1;0;0.0;0;0
20;4/24/2025 16:00;82.06;23.94;51.85;2.1499999999999986;0;22;0;0;0;16;1;94.32;24.09;0;4;2025-04-24 16:00:00;24.04.2025;50.7;56.05;0;0;0;1;0;0.0;0;0
21;4/24/2025 17:00;75.99;23.84;52.38;0.5300000000000011;0;23;0;0;0;17;1;86.46;24.04;0;4;2025-04-24 17:00:00;24.04.2025;51.1;55.61;0;0;0;1;0;0.0;0;0
