measurement,time,valuie
light,2025-04-23T20:33:54.150293Z,76.49
light,2025-04-23T20:38:54.185525Z,76.49
light,2025-04-23T20:43:54.118252Z,77.41
light,2025-04-23T20:48:54.154698Z,77.41
light,2025-04-23T20:53:54.190159Z,74.19
light,2025-04-23T20:58:54.123180Z,74.19
light,2025-04-23T21:03:54.157122Z,71.88
light,2025-04-23T21:08:54.188276Z,72.35
light,2025-04-23T21:13:54.228409Z,72.35
light,2025-04-23T21:18:54.151387Z,72.35
light,2025-04-23T21:23:54.185477Z,72.35
light,2025-04-23T21:28:54.117898Z,72.35
light,2025-04-23T21:33:54.152460Z,72.35
light,2025-04-23T21:38:54.187573Z,72.35
light,2025-04-23T21:43:54.119800Z,72.35
light,2025-04-23T21:48:54.154396Z,72.35
light,2025-04-23T21:53:54.189232Z,72.35
light,2025-04-23T21:58:54.122394Z,72.35
light,2025-04-23T22:03:54.154020Z,72.35
light,2025-04-23T22:08:54.192134Z,72.35
light,2025-04-23T22:13:54.124899Z,72.35
light,2025-04-23T22:18:54.159733Z,72.81
light,2025-04-23T22:23:54.092211Z,72.35
light,2025-04-23T22:28:54.127411Z,72.35
light,2025-04-23T22:33:54.162432Z,72.35
light,2025-04-23T22:38:54.196873Z,72.35
light,2025-04-23T22:43:54.129769Z,72.35
light,2025-04-23T22:48:54.159710Z,72.35
light,2025-04-23T22:53:54.190280Z,72.35
light,2025-04-23T22:58:54.120106Z,72.35
light,2025-04-23T23:03:54.152955Z,72.35
light,2025-04-23T23:08:54.186499Z,72.81
light,2025-04-23T23:13:54.117702Z,72.81
light,2025-04-23T23:18:54.151480Z,72.35
light,2025-04-23T23:23:54.082946Z,72.35
light,2025-04-23T23:28:54.116694Z,72.81
light,2025-04-23T23:33:54.150324Z,72.81
light,2025-04-23T23:38:54.184896Z,72.81
light,2025-04-23T23:43:54.116641Z,0.0
light,2025-04-23T23:48:54.150197Z,0.0
light,2025-04-23T23:53:54.080937Z,0.0
light,2025-04-23T23:58:54.113820Z,0.0
light,2025-04-24T00:03:54.147153Z,0.0
light,2025-04-24T00:08:54.077770Z,0.0
light,2025-04-24T00:13:54.111574Z,0.0
light,2025-04-24T00:18:54.145007Z,0.0
light,2025-04-24T00:23:54.178964Z,0.0
light,2025-04-24T00:28:54.115033Z,0.0
light,2025-04-24T00:33:54.160915Z,0.0
light,2025-04-24T00:38:54.099457Z,0.0
light,2025-04-24T00:43:54.138343Z,0.0
light,2025-04-24T00:48:54.176178Z,0.0
light,2025-04-24T00:53:54.212223Z,0.0
light,2025-04-24T00:58:54.146086Z,0.0
light,2025-04-24T01:03:54.178391Z,0.0
light,2025-04-24T01:08:54.209106Z,0.0
light,2025-04-24T01:13:54.138222Z,0.0
