filename,dry_level,sun_level,target_state
001.png,dry_mid,sun_ok,healthy_low
002.png,dry_low,sun_low,healthy_mid
003.png,dry_low,sun_ok,healthy_perfect
004.png,dry_mid,sun_ok,unhealthy_low
005.png,dry_low,sun_ok,healthy_perfect
006.png,dry_low,sun_low,healthy_low
007.png,dry_low,sun_low,healthy_low
008.png,dry_low,sun_ok,healthy_mid
009.png,dry_mid,sun_low,unhealthy_mid
010.png,dry_low,sun_low,healthy_mid
011.png,dry_low,sun_ok,healthy_perfect
012.png,dry_low,sun_ok,healthy_perfect
013.jpg,dry_low,sun_low,healthy_mid
014.jpg,dry_low,sun_low,healthy_mid
015.jpg,dry_low,sun_low,healthy_mid
016.jpg,dry_low,sun_low,healthy_mid
017.jpg,dry_low,sun_low,healthy_mid
018.jpg,dry_low,sun_ok,healthy_perfect
019.jpg,dry_low,sun_ok,healthy_perfect
020.jpg,dry_low,sun_ok,healthy_perfect
021.png,dry_low,sun_low,healthy_low
022.png,dry_mid,sun_ok,unhealthy_low
023.png,dry_mid,sun_ok,unhealthy_low
024.png,dry_low,sun_ok,healthy_perfect
025.png,dry_low,sun_ok,healthy_perfect
026.png,dry_mid,sun_ok,unhealthy_low
027.png,dry_mid,sun_ok,unhealthy_low
028.png,dry_mid,sun_ok,unhealthy_low
029.png,dry_low,sun_ok,healthy_perfect
030.png,dry_low,sun_ok,healthy_perfect
031.png,dry_high,sun_high,unhealthy_mid
032.png,dry_low,sun_low,unhealthy_low
033.png,dry_low,sun_ok,healthy_perfect
034.png,dry_low,sun_ok,healthy_mid
035.png,dry_low,sun_ok,healthy_perfect
036.png,dry_low,sun_low,healthy_mid
037.png,dry_low,sun_low,healthy_mid
038.png,dry_mid,sun_ok,unhealthy_low
039.jpg,dry_mid,sun_low,unhealthy_mid
040.png,dry_high,sun_high,unhealthy_perfect
041.jpg,dry_high,sun_low,healthy_perfect
042.png,dry_mid,sun_low,unhealthy_mid
043.jpg,dry_high,sun_high,unhealthy_perfect
044.jpg,dry_high,sun_high,unhealthy_perfect
045.jpg,dry_mid,sun_high,unhealthy_mid
046.png,dry_mid,sun_ok,unhealthy_low
047.png,dry_high,sun_high,unhealthy_mid
048.png,dry_mid,sun_ok,unhealthy_low
049.png,dry_high,sun_high,unhealthy_mid
050.png,dry_high,sun_ok,unhealthy_low
052.png,dry_high,sun_high,unhealthy_perfect
053.png,dry_mid,sun_ok,unhealthy_low
054.png,dry_mid,sun_ok,unhealthy_low
055.png,dry_low,sun_ok,healthy_perfect
056.png,dry_low,sun_high,unhealthy_mid
057.png,dry_low,sun_high,unhealthy_mid
058.png,dry_high,sun_high,unhealthy_mid
059.png,dry_high,sun_high,unhealthy_perfect
061.png,dry_mid,sun_high,unhealthy_low
062.png,dry_mid,sun_ok,unhealthy_low
063.png,dry_mid,sun_ok,unhealthy_low
064.png,dry_mid,sun_ok,unhealthy_low
065.png,dry_mid,sun_high,unhealthy_mid
066.png,dry_high,sun_high,unhealthy_perfect
067.png,dry_mid,sun_ok,unhealthy_low
068.png,dry_mid,sun_low,unhealthy_low
069.png,dry_mid,sun_low,unhealthy_low
070.png,dry_mid,sun_ok,unhealthy_low
071.png,dry_high,sun_high,unhealthy_perfect
072.png,dry_mid,sun_ok,unhealthy_low
073.png,dry_high,sun_high,unhealthy_mid
074.png,dry_mid,sun_ok,unhealthy_low
075.png,dry_mid,sun_high,unhealthy_mid
076.png,dry_mid,sun_ok,unhealthy_low
078.png,dry_high,sun_high,unhealthy_mid
079.png,dry_mid,sun_ok,unhealthy_low
080.png,dry_mid,sun_ok,unhealthy_low
081.png,dry_low,sun_ok,healthy_mid
082.png,dry_low,sun_high,unhealthy_low
083.png,dry_low,sun_high,unhealthy_mid
084.png,dry_high,sun_high,unhealthy_perfect
085.png,dry_high,sun_high,unhealthy_mid
086.png,dry_mid,sun_ok,unhealthy_low
087.png,dry_mid,sun_ok,unhealthy_low
088.png,dry_mid,sun_ok,unhealthy_low
089.png,dry_high,sun_high,unhealthy_mid
090.png,dry_high,sun_high,unhealthy_perfect
091.png,dry_mid,sun_ok,unhealthy_low
092.png,dry_mid,sun_low,unhealthy_low
093.png,dry_mid,sun_low,healthy_mid
094.png,dry_mid,sun_ok,unhealthy_low
095.png,dry_high,sun_high,unhealthy_perfect
096.png,dry_mid,sun_ok,unhealthy_low
097.png,dry_low,sun_low,healthy_low
098.png,dry_low,sun_low,healthy_mid
099.png,dry_low,sun_ok,healthy_low
100.jpg,dry_low,sun_ok,healthy_perfect
101.jpg,dry_low,sun_ok,healthy_perfect
102.jpg,dry_low,sun_ok,healthy_perfect
103.jpg,dry_low,sun_ok,healthy_perfect
104.jpg,dry_low,sun_ok,healthy_perfect
105.jpg,dry_low,sun_ok,healthy_perfect
106.jpg,dry_low,sun_ok,healthy_perfect
107.jpg,dry_low,sun_ok,healthy_perfect
108.jpg,dry_low,sun_ok,healthy_perfect
109.jpg,dry_low,sun_ok,healthy_perfect
110.jpg,dry_low,sun_ok,healthy_perfect
111.jpg,dry_low,sun_ok,healthy_perfect
112.jpg,dry_low,sun_ok,healthy_perfect
113.jpg,dry_low,sun_ok,healthy_perfect
114.jpg,dry_low,sun_ok,healthy_perfect
115.jpg,dry_low,sun_ok,healthy_perfect
116.png,dry_low,sun_ok,healthy_perfect
117.png,dry_low,sun_ok,healthy_perfect
118.png,dry_low,sun_ok,healthy_perfect
119.jpg,dry_low,sun_ok,healthy_perfect
120.png,dry_low,sun_ok,healthy_perfect
121.png,dry_low,sun_ok,healthy_perfect
122.png,dry_low,sun_ok,healthy_perfect
